_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,ev0a,ev10a,ev11a,ev12a,ev13a,ev14a,ev15a,ev16a,ev17a,ev18a,ev19a,ev1a,ev20a,ev21a,ev22a,ev23a,ev24a,ev25a,ev26a,ev27a,ev28a,ev29a,ev2a,ev3a,ev4a,ev5a,ev6a,ev7a,ev8a,ev9a,eventstate0,eventstate1,eventstate10,eventstate11,eventstate12,eventstate13,eventstate14,eventstate15,eventstate16,eventstate17,eventstate18,eventstate19,eventstate2,eventstate20,eventstate21,eventstate22,eventstate23,eventstate24,eventstate25,eventstate26,eventstate27,eventstate28,eventstate29,eventstate3,eventstate4,eventstate5,eventstate6,eventstate7,eventstate8,eventstate9,eventtype0,eventtype1,eventtype10,eventtype11,eventtype12,eventtype13,eventtype14,eventtype15,eventtype16,eventtype17,eventtype18,eventtype19,eventtype2,eventtype20,eventtype21,eventtype22,eventtype23,eventtype24,eventtype25,eventtype26,eventtype27,eventtype28,eventtype29,eventtype3,eventtype4,eventtype5,eventtype6,eventtype7,eventtype8,eventtype9,noevents,othertextfield0,othertextfield1,othertextfield10,othertextfield11,othertextfield12,othertextfield13,othertextfield14,othertextfield15,othertextfield16,othertextfield17,othertextfield18,othertextfield19,othertextfield2,othertextfield20,othertextfield21,othertextfield22,othertextfield23,othertextfield24,othertextfield25,othertextfield26,othertextfield27,othertextfield28,othertextfield29,othertextfield3,othertextfield4,othertextfield5,othertextfield6,othertextfield7,othertextfield8,othertextfield9,step_2_for_each_event_you_have_highlighted_select_the_event_state_and_the_event_type,verification,id,sentence,,
714042432,5/6/2015 08:18:15,1630699634,5/6/2015 08:16:36,false,cf_internal,1,30500146,EU,"","",195.212.29.75,1,,,,,,,,,,,7-12,,,,,,,,,,,16-20,,,,,,,,Will happen,Will happen,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,Intention or Attempt,Intention or Attempt,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,The takeover would be followed by a restructuring of Orkem 's U.K. unit  including the addition of related Orkem businesses and possibly further acquisitions . ,,
714042433,5/7/2015 07:26:50,1631357650,5/7/2015 07:26:37,false,cf_internal,1,32705762,NLD,7,Amsterdam,149.86.114.52,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,The offer  which values the whole of Coates at #301 million  has already been accepted by Coates executives and other shareholders owning 12.4% of the company . ',,
714042434,5/8/2015 12:48:32,1632161964,5/8/2015 12:48:14,false,cf_internal,1,32705762,NLD,7,Amsterdam,149.86.114.4,4-33,,,,,,,,,,,33,,,,,,,,,,,35-41,,,,,,,,Is happening,Has happened,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,Perception,Reporting,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Orkem S.A.  a French state-controlled chemical manufacturer  is making a friendly bid of 470 pence ( $7.43 ) a share for the 59.2% of U.K. specialty chemical group Coates Brothers PLC which it does n 't already own  the two sides said . ,,
714042435,5/18/2015 03:32:13,1638306998,5/18/2015 03:31:33,false,clixsense,0.9557,32609988,USA,IL,Chicago,208.54.80.161,3-5,,,,,,,,,,,9-10,,,,,,,,,,,32-34,,,,,,,,Has happened,Is happening,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,Perception,Reporting,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/18/2015 03:38:28,1638308525,5/18/2015 03:37:53,false,prodege,0.9692,27081124,USA,IL,Rolling Meadows,24.12.163.210,12,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,Will happen,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/18/2015 07:54:28,1638365265,5/18/2015 07:53:32,false,instagc,0.9711,30442301,USA,OR,Coos Bay,71.12.121.242,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/18/2015 11:43:26,1638420083,5/18/2015 11:42:52,false,bitcoinget,0.9737,30546513,GBR,G6,Hull,194.42.67.50,0-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has happened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/21/2015 21:26:39,1640628364,5/21/2015 21:25:54,false,prodege,0.9803,21873876,CAN,NB,Fredericton,156.57.211.152,0-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is happening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/24/2015 18:24:49,1642706865,5/24/2015 18:22:18,false,clixsense,0.8989,6375330,CAN,QC,Montréal,174.138.215.32,10,,,,,,,,,,,11,,,,,,,,,,,12,35,36,37,,,,,Will happen,Will happen,,,,,,,,,,,Will happen,,,,,,,,,,,Will happen,Will happen,Will happen,,,,,Reporting,Reporting,,,,,,,,,,,Reporting,,,,,,,,,,,Intention or Attempt,Intention or Attempt,Intention or Attempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
714042435,5/24/2015 23:58:46,1642824816,5/24/2015 23:57:37,false,zoombucks,0.9436,6744840,CAN,BC,Kelowna,174.4.58.160,,,,,,,,,,,,,,,,,,,,,,,12,37,,,,,,,,,,,,,,,,,,,Will happen,,,,,,,,,,,Will happen,,,,,,,,,,,,,,,,,,,Perception,,,,,,,,,,,Perception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,Orkem and Coates said last Wednesday that the two were considering a merger  through Orkem 's British subsidiary  Orkem Coatings U.K. Ltd. Orkem  France 's third-largest chemical group  said it would fund the acquisition through internal resources . ,,
