wsj_0816_1_13|2
wsj_0816_1_12|2
wsj_0816_1_11|2
wsj_0816_1_10|3
wsj_0816_1_15|1
wsj_0816_1_14|3
APW19980227.0468_0_45|0
APW19980227.0468_0_44|0
APW19980227.0468_0_41|1
APW19980227.0468_0_40|1
APW19980227.0468_0_43|1
APW19980227.0468_0_42|1
wsj_0132_4_11|1
wsj_0132_4_10|5
wsj_0132_4_13|7
wsj_0132_4_12|1
wsj_0132_4_15|1
wsj_0132_4_14|6
wsj_0132_4_17|7
wsj_0132_4_16|3
wsj_0132_4_18|0
wsj_0575_25_30|0
ABC19980304.1830.1636_13_9|0
ABC19980304.1830.1636_13_6|8
ABC19980304.1830.1636_13_7|8
ABC19980304.1830.1636_13_4|13
ABC19980304.1830.1636_13_5|8
ABC19980304.1830.1636_13_2|7
ABC19980304.1830.1636_13_3|12
ABC19980304.1830.1636_13_0|2
ABC19980304.1830.1636_13_1|7
wsj_0816_3_19|5
wsj_0816_3_18|10
wsj_0816_3_11|2
wsj_0816_3_10|0
wsj_0816_3_13|4
wsj_0816_3_12|8
wsj_0816_3_15|4
wsj_0816_3_14|4
wsj_0816_3_17|2
wsj_0816_3_16|2
APW19980227.0494_14_9|9
APW19980227.0494_14_8|8
APW19980227.0494_14_3|10
APW19980227.0494_14_2|2
APW19980227.0494_14_1|4
APW19980227.0494_14_0|4
APW19980227.0494_14_7|5
APW19980227.0494_14_6|11
APW19980227.0494_14_5|15
APW19980227.0494_14_4|10
wsj_1014_8_7|0
wsj_1014_8_6|0
wsj_1014_8_5|0
wsj_1014_8_4|0
wsj_1014_8_3|4
wsj_1014_8_2|4
wsj_1014_8_1|12
wsj_1014_8_0|3
APW19980227.0494_18_40|1
APW19980227.0494_18_41|1
wsj_1014_8_9|11
wsj_1014_8_8|2
AP900816-0139_44_9|4
AP900816-0139_44_8|4
AP900816-0139_44_1|2
AP900816-0139_44_0|0
AP900816-0139_44_3|4
AP900816-0139_44_2|4
AP900816-0139_44_5|5
AP900816-0139_44_4|5
AP900816-0139_44_7|4
AP900816-0139_44_6|8
ABC19980304.1830.1636_17_18|1
ABC19980304.1830.1636_17_19|2
wsj_0135_0_8|7
wsj_0135_0_9|7
wsj_0135_0_2|2
wsj_0135_0_3|4
wsj_0135_0_0|2
wsj_0135_0_1|2
wsj_0135_0_6|9
wsj_0135_0_7|11
wsj_0135_0_4|4
wsj_0135_0_5|10
wsj_0292_3_22|1
wsj_0292_3_23|1
wsj_0292_3_20|1
wsj_0292_3_21|1
wsj_0292_3_26|1
wsj_0292_3_27|1
wsj_0292_3_24|1
wsj_0292_3_25|1
wsj_0292_3_28|1
wsj_0292_3_29|1
AP900815-0044_11_36|5
ABC19980304.1830.1636_13_8|8
AP900815-0044_11_31|0
wsj_0348_6_31|1
AP900816-0139_49_4|1
AP900816-0139_49_5|6
AP900816-0139_49_6|14
AP900816-0139_49_7|6
AP900816-0139_49_0|1
AP900816-0139_49_1|1
AP900816-0139_49_2|1
AP900816-0139_49_3|1
AP900816-0139_49_8|6
AP900816-0139_49_9|7
AP900816-0139_41_8|3
AP900816-0139_41_9|5
AP900816-0139_41_4|3
AP900816-0139_41_5|3
AP900816-0139_41_6|1
AP900816-0139_41_7|1
AP900816-0139_41_0|3
AP900816-0139_41_1|3
AP900816-0139_41_2|3
AP900816-0139_41_3|3
wsj_1014_26_2|8
wsj_1014_26_3|4
wsj_1014_26_0|3
wsj_1014_26_1|3
wsj_1014_26_6|4
wsj_1014_26_7|2
wsj_1014_26_4|5
wsj_1014_26_5|5
wsj_1014_26_8|4
wsj_1014_26_9|8
wsj_0542_0_29|1
wsj_0542_0_28|1
wsj_0542_0_27|1
wsj_0542_0_26|1
wsj_0542_0_25|1
wsj_0542_0_24|1
wsj_0542_0_23|1
wsj_0542_0_22|1
wsj_0542_0_21|1
wsj_0542_0_20|1
wsj_0786_0_32|2
wsj_0786_0_33|0
wsj_0786_0_30|1
wsj_0786_0_31|1
WSJ910225-0066_56_24|6
wsj_0575_28_22|0
wsj_0575_28_20|3
