ABC19980120.1830.0957_9|For nearly forty years , the United States has said categorically it would not tolerate totalitarian rule in its own backyard .|9|said|POS|NONE|VERB|PRESENT|PERFECTIVE|REPORTING
ABC19980120.1830.0957_9|For nearly forty years , the United States has said categorically it would not tolerate totalitarian rule in its own backyard .|14|tolerate|NEG|would|VERB|NONE|NONE|I_ACTION
ABC19980120.1830.0957_8|It will give the rest of the world the view that Cuba is like any other nation , something the US has , of course , tried to persuade the world that it is not .|26|tried|POS|NONE|VERB|PRESENT|PERFECTIVE|I_ACTION
ABC19980120.1830.0957_8|It will give the rest of the world the view that Cuba is like any other nation , something the US has , of course , tried to persuade the world that it is not .|2|give|POS|NONE|VERB|FUTURE|NONE|OCCURRENCE
ABC19980120.1830.0957_8|It will give the rest of the world the view that Cuba is like any other nation , something the US has , of course , tried to persuade the world that it is not .|28|persuade|POS|NONE|VERB|INFINITIVE|NONE|I_ACTION
ABC19980120.1830.0957_3|He has outlasted and sometimes outsmarted eight American presidents .|2|outlasted|POS|NONE|VERB|PRESENT|PERFECTIVE|OCCURRENCE
ABC19980120.1830.0957_3|He has outlasted and sometimes outsmarted eight American presidents .|5|outsmarted|POS|NONE|VERB|PRESENT|PERFECTIVE|OCCURRENCE
ABC19980120.1830.0957_2|Time and again , he endures .|5|endures|POS|NONE|VERB|PRESENT|NONE|OCCURRENCE
ABC19980120.1830.0957_1|People have predicted his demise so many times , and the US has tried to hasten it on several occasions .|13|tried|POS|NONE|VERB|PRESENT|PERFECTIVE|I_ACTION
ABC19980120.1830.0957_1|People have predicted his demise so many times , and the US has tried to hasten it on several occasions .|2|predicted|POS|NONE|VERB|PRESENT|PERFECTIVE|I_ACTION
ABC19980120.1830.0957_1|People have predicted his demise so many times , and the US has tried to hasten it on several occasions .|15|hasten|POS|NONE|VERB|INFINITIVE|NONE|OCCURRENCE
ABC19980120.1830.0957_1|People have predicted his demise so many times , and the US has tried to hasten it on several occasions .|4|demise|POS|NONE|NOUN|NONE|NONE|OCCURRENCE
ABC19980120.1830.0957_0|For his part , Fidel Castro is the ultimate political survivor .||||||||No Class
ABC19980120.1830.0957_7|They ll see images of the Pope with Fidel Castro .|2|see|POS|NONE|VERB|FUTURE|NONE|PERCEPTION
ABC19980120.1830.0957_6|The entire world will see images of the Pope in Cuba .|4|see|POS|NONE|VERB|FUTURE|NONE|PERCEPTION
ABC19980120.1830.0957_5|This is clearly an opportunity for Cuba to look good internationally .||||||||No Class
ABC19980120.1830.0957_4|Fidel Castro invited John Paul to come for a reason .|2|invited|POS|NONE|VERB|PAST|NONE|OCCURRENCE
ABC19980120.1830.0957_4|Fidel Castro invited John Paul to come for a reason .|6|come|POS|NONE|VERB|INFINITIVE|NONE|OCCURRENCE
CNN19980227.2130.0067_8|This time a bomb at an abortion clinic .|3|bomb|POS|NONE|NOUN|NONE|NONE|OCCURRENCE
CNN19980227.2130.0067_9|More people are hurt .|3|hurt|POS|NONE|VERB|PRESENT|NONE|OCCURRENCE
CNN19980227.2130.0067_4|A bomb blast shocks the Olympic games .|3|shocks|POS|NONE|VERB|PRESENT|NONE|OCCURRENCE
CNN19980227.2130.0067_5|One person is killed .|3|killed|POS|NONE|VERB|PRESENT|NONE|OCCURRENCE
CNN19980227.2130.0067_6|January nineteen ninety-seven .||||||||No Class
CNN19980227.2130.0067_7|Atlanta again .||||||||No Class
CNN19980227.2130.0067_0|Live from Atalanta , good evening Lynne Russell , CNN headline news .||||||||No Class
CNN19980227.2130.0067_1|New evidence is suggesting that a series of bombings in Atalanta and last month s explosion at an Alabama women s clinic might be related .|24|related|POS|might|ADJECTIVE|NONE|NONE|STATE
CNN19980227.2130.0067_1|New evidence is suggesting that a series of bombings in Atalanta and last month s explosion at an Alabama women s clinic might be related .|8|bombings|POS|NONE|NOUN|NONE|NONE|OCCURRENCE
CNN19980227.2130.0067_1|New evidence is suggesting that a series of bombings in Atalanta and last month s explosion at an Alabama women s clinic might be related .|3|suggesting|POS|NONE|VERB|PRESENT|PROGRESSIVE|I_STATE
CNN19980227.2130.0067_1|New evidence is suggesting that a series of bombings in Atalanta and last month s explosion at an Alabama women s clinic might be related .|15|explosion|POS|NONE|NOUN|NONE|NONE|OCCURRENCE
CNN19980227.2130.0067_2|Pierre Thomas has the latest .||||||||No Class
CNN19980227.2130.0067_3|Atlanta nineteen ninety-six .||||||||No Class
CNN19980227.2130.0067_25|Privately , authorities say Rudolph has become a focus of their investigation .|11|investigation|POS|NONE|NOUN|NONE|NONE|OCCURRENCE
CNN19980227.2130.0067_25|Privately , authorities say Rudolph has become a focus of their investigation .|3|say|POS|NONE|VERB|PRESENT|NONE|REPORTING
CNN19980227.2130.0067_25|Privately , authorities say Rudolph has become a focus of their investigation .|6|become|POS|NONE|VERB|PRESENT|PERFECTIVE|OCCURRENCE
